구매_ID,구매_날짜,구매자_ID,구매_수량,각인_서비스,결제_방식,총_결제_금액,상품_ID,카테고리,상품이름
2021-01-01-0223-1,2021-01-01,223,62,F,계좌이체,1364000,9,3,잠금장치 노트
2021-01-01-0098-1,2021-01-01,98,7,T,계좌이체,420000,13,4,만년필
2021-01-02-0157-1,2021-01-02,157,61,T,신용카드,1525000,5,2,가죽 필통
2021-01-02-0063-1,2021-01-02,63,4,T,계좌이체,140000,10,3,잠금장치 노트
2021-01-02-0067-1,2021-01-02,67,5,T,계좌이체,250000,15,4,탄생석 펜
2021-01-03-0212-1,2021-01-03,212,6,F,카카오페이,300000,15,4,탄생석 펜
2021-01-03-0017-1,2021-01-03,17,71,F,신용카드,1917000,6,2,가죽 필통
2021-01-03-0274-1,2021-01-03,274,2,F,계좌이체,100000,15,4,탄생석 펜
2021-01-03-0080-1,2021-01-03,80,2,F,신용카드,120000,13,4,만년필
2021-01-04-0011-1,2021-01-04,11,65,T,계좌이체,97500,7,3,양장노트
2021-01-04-0073-1,2021-01-04,73,1,T,계좌이체,80000,11,3,실험 일지 세트
2021-01-04-0239-1,2021-01-04,239,67,T,신용카드,335000,1,1,색연필 세트
2021-01-04-0073-2,2021-01-04,73,37,F,신용카드,370000,8,3,다이어리
2021-01-05-0210-1,2021-01-05,210,17,F,계좌이체,1020000,13,4,만년필
2021-01-05-0028-1,2021-01-05,28,3,T,신용카드,81000,6,2,가죽 필통
2021-01-05-0289-1,2021-01-05,289,56,F,신용카드,952000,3,1,드로잉 펜 8종 세트
2021-01-05-0082-1,2021-01-05,82,44,T,신용카드,220000,4,1,연필 세트
2021-01-05-0259-1,2021-01-05,259,5,F,카카오페이,250000,15,4,탄생석 펜
2021-01-06-0191-1,2021-01-06,191,43,T,신용카드,946000,9,3,잠금장치 노트
2021-01-06-0222-1,2021-01-06,222,6,T,계좌이체,450000,14,4,만년필
2021-01-07-0222-1,2021-01-07,222,20,T,계좌이체,900000,18,4,깃펜 세트
2021-01-07-0118-1,2021-01-07,118,16,T,계좌이체,1280000,11,3,실험 일지 세트
2021-01-07-0121-1,2021-01-07,121,33,T,신용카드,165000,4,1,연필 세트
2021-01-07-0205-1,2021-01-07,205,21,T,신용카드,567000,6,2,가죽 필통
2021-01-08-0079-1,2021-01-08,79,30,T,신용카드,810000,6,2,가죽 필통
2021-01-08-0167-1,2021-01-08,167,7,F,계좌이체,245000,10,3,잠금장치 노트
2021-01-10-0307-1,2021-01-10,307,21,T,신용카드,1260000,13,4,만년필
2021-01-10-0093-1,2021-01-10,93,79,F,신용카드,395000,4,1,연필 세트
2021-01-11-0036-1,2021-01-11,36,21,T,신용카드,1050000,15,4,탄생석 펜
2021-01-11-0149-1,2021-01-11,149,9,F,계좌이체,675000,14,4,만년필
2021-01-11-0021-1,2021-01-11,21,23,F,신용카드,11500,16,4,연필
2021-01-12-0095-1,2021-01-12,95,75,F,계좌이체,37500,16,4,연필
2021-01-12-0057-1,2021-01-12,57,86,T,계좌이체,129000,7,3,양장노트
2021-01-14-0253-1,2021-01-14,253,18,F,계좌이체,900000,15,4,탄생석 펜
2021-01-14-0294-1,2021-01-14,294,69,F,신용카드,1173000,3,1,드로잉 펜 8종 세트
2021-01-15-0189-1,2021-01-15,189,9,F,계좌이체,405000,18,4,깃펜 세트
2021-01-15-0160-1,2021-01-15,160,6,T,신용카드,162000,6,2,가죽 필통
2021-01-15-0250-1,2021-01-15,250,60,F,카카오페이,90000,7,3,양장노트
2021-01-16-0235-1,2021-01-16,235,20,T,카카오페이,900000,18,4,깃펜 세트
2021-01-17-0176-1,2021-01-17,176,60,F,계좌이체,1020000,3,1,드로잉 펜 8종 세트
2021-01-17-0085-1,2021-01-17,85,11,F,계좌이체,825000,14,4,만년필
2021-01-17-0043-1,2021-01-17,43,98,F,신용카드,1176000,2,1,드로잉 펜 6종세트
2021-01-17-0160-1,2021-01-17,160,88,T,계좌이체,2200000,5,2,가죽 필통
2021-01-17-0163-1,2021-01-17,163,12,T,신용카드,420000,10,3,잠금장치 노트
2021-01-18-0256-1,2021-01-18,256,44,F,신용카드,220000,4,1,연필 세트
2021-01-18-0296-1,2021-01-18,296,46,F,신용카드,230000,1,1,색연필 세트
2021-01-18-0188-1,2021-01-18,188,4,F,카카오페이,200000,15,4,탄생석 펜
2021-01-18-0275-1,2021-01-18,275,22,F,신용카드,264000,2,1,드로잉 펜 6종세트
2021-01-18-0238-1,2021-01-18,238,3,T,신용카드,150000,15,4,탄생석 펜
2021-01-19-0076-1,2021-01-19,76,9,F,계좌이체,675000,14,4,만년필
2021-01-19-0168-1,2021-01-19,168,30,T,신용카드,45000,7,3,양장노트
2021-01-20-0118-1,2021-01-20,118,9,T,카카오페이,540000,13,4,만년필
2021-01-20-0062-1,2021-01-20,62,56,T,신용카드,84000,7,3,양장노트
2021-01-20-0099-1,2021-01-20,99,65,F,신용카드,325000,1,1,색연필 세트
2021-01-20-0239-1,2021-01-20,239,11,F,계좌이체,495000,18,4,깃펜 세트
2021-01-21-0033-1,2021-01-21,33,18,F,신용카드,90000,4,1,연필 세트
2021-01-21-0036-1,2021-01-21,36,25,T,신용카드,1875000,14,4,만년필
2021-01-21-0188-1,2021-01-21,188,8,F,신용카드,280000,10,3,잠금장치 노트
2021-01-21-0098-1,2021-01-21,98,12,F,신용카드,720000,13,4,만년필
2021-01-22-0266-1,2021-01-22,266,80,T,카카오페이,800000,8,3,다이어리
2021-01-22-0021-1,2021-01-22,21,18,T,계좌이체,1440000,11,3,실험 일지 세트
2021-01-22-0253-1,2021-01-22,253,29,F,계좌이체,116000,17,4,지우개 세트
2021-01-23-0054-1,2021-01-23,54,11,T,신용카드,275000,5,2,가죽 필통
2021-01-23-0297-1,2021-01-23,297,13,T,계좌이체,455000,10,3,잠금장치 노트
2021-01-23-0191-1,2021-01-23,191,77,F,신용카드,308000,17,4,지우개 세트
2021-01-24-0030-1,2021-01-24,30,90,T,카카오페이,900000,8,3,다이어리
2021-01-24-0214-1,2021-01-24,214,30,T,신용카드,45000,7,3,양장노트
2021-01-24-0279-1,2021-01-24,279,20,T,신용카드,1200000,13,4,만년필
2021-01-25-0146-1,2021-01-25,146,91,F,계좌이체,136500,7,3,양장노트
2021-01-25-0279-1,2021-01-25,279,4,F,신용카드,68000,3,1,드로잉 펜 8종 세트
2021-01-25-0185-1,2021-01-25,185,15,F,계좌이체,900000,13,4,만년필
2021-01-26-0020-1,2021-01-26,20,86,F,계좌이체,129000,7,3,양장노트
2021-01-26-0309-1,2021-01-26,309,23,F,신용카드,11500,16,4,연필
2021-01-26-0197-1,2021-01-26,197,3,T,계좌이체,75000,5,2,가죽 필통
2021-01-26-0122-1,2021-01-26,122,66,T,신용카드,330000,1,1,색연필 세트
2021-01-26-0170-1,2021-01-26,170,23,F,카카오페이,1150000,15,4,탄생석 펜
2021-01-27-0004-1,2021-01-27,4,10,T,계좌이체,250000,5,2,가죽 필통
2021-01-27-0131-1,2021-01-27,131,63,F,계좌이체,315000,4,1,연필 세트
2021-01-27-0099-1,2021-01-27,99,4,T,신용카드,240000,13,4,만년필
2021-01-27-0063-1,2021-01-27,63,19,T,신용카드,855000,18,4,깃펜 세트
2021-01-27-0183-1,2021-01-27,183,15,T,계좌이체,900000,13,4,만년필
2021-01-27-0272-1,2021-01-27,272,45,T,신용카드,67500,7,3,양장노트
2021-01-28-0227-1,2021-01-28,227,32,F,계좌이체,128000,17,4,지우개 세트
2021-01-28-0216-1,2021-01-28,216,3,F,계좌이체,105000,10,3,잠금장치 노트
2021-01-28-0105-1,2021-01-28,105,83,T,신용카드,2241000,6,2,가죽 필통
2021-01-29-0231-1,2021-01-29,231,67,F,신용카드,804000,2,1,드로잉 펜 6종세트
2021-01-29-0231-2,2021-01-29,231,99,F,계좌이체,396000,17,4,지우개 세트
2021-01-30-0073-1,2021-01-30,73,1,T,신용카드,22000,9,3,잠금장치 노트
2021-01-30-0117-1,2021-01-30,117,89,T,계좌이체,445000,1,1,색연필 세트
2021-01-31-0259-1,2021-01-31,259,73,F,카카오페이,292000,17,4,지우개 세트
2021-01-31-0145-1,2021-01-31,145,35,F,계좌이체,192500,12,3,리필 종이
2021-01-31-0260-1,2021-01-31,260,11,F,카카오페이,550000,15,4,탄생석 펜
2021-02-01-0121-1,2021-02-01,121,76,T,카카오페이,760000,8,3,다이어리
2021-02-01-0326-1,2021-02-01,326,52,T,계좌이체,1300000,5,2,가죽 필통
2021-02-01-0284-1,2021-02-01,284,6,T,카카오페이,270000,18,4,깃펜 세트
2021-02-01-0244-1,2021-02-01,244,47,F,계좌이체,188000,17,4,지우개 세트
2021-02-02-0138-1,2021-02-02,138,67,T,신용카드,335000,1,1,색연필 세트
2021-02-02-0068-1,2021-02-02,68,90,F,카카오페이,45000,16,4,연필
2021-02-03-0259-1,2021-02-03,259,19,T,신용카드,513000,6,2,가죽 필통
2021-02-03-0041-1,2021-02-03,41,88,F,신용카드,1496000,3,1,드로잉 펜 8종 세트
2021-02-03-0131-1,2021-02-03,131,88,T,신용카드,1936000,9,3,잠금장치 노트
2021-02-04-0124-1,2021-02-04,124,42,F,신용카드,504000,2,1,드로잉 펜 6종세트
2021-02-04-0201-1,2021-02-04,201,25,F,신용카드,1250000,15,4,탄생석 펜
2021-02-04-0194-1,2021-02-04,194,16,F,계좌이체,24000,7,3,양장노트
2021-02-05-0216-1,2021-02-05,216,29,F,계좌이체,638000,9,3,잠금장치 노트
2021-02-05-0026-1,2021-02-05,26,21,F,신용카드,1050000,15,4,탄생석 펜
2021-02-05-0144-1,2021-02-05,144,14,T,계좌이체,630000,18,4,깃펜 세트
2021-02-05-0168-1,2021-02-05,168,18,F,계좌이체,630000,10,3,잠금장치 노트
2021-02-05-0165-1,2021-02-05,165,18,F,계좌이체,72000,17,4,지우개 세트
2021-02-05-0203-1,2021-02-05,203,58,F,계좌이체,580000,8,3,다이어리
2021-02-06-0009-1,2021-02-06,9,100,F,카카오페이,50000,16,4,연필
2021-02-07-0023-1,2021-02-07,23,22,T,신용카드,1100000,15,4,탄생석 펜
2021-02-07-0258-1,2021-02-07,258,56,T,신용카드,1512000,6,2,가죽 필통
2021-02-08-0180-1,2021-02-08,180,18,T,신용카드,180000,8,3,다이어리
2021-02-08-0243-1,2021-02-08,243,24,T,카카오페이,1080000,18,4,깃펜 세트
2021-02-09-0272-1,2021-02-09,272,8,F,계좌이체,400000,15,4,탄생석 펜
2021-02-09-0150-1,2021-02-09,150,4,F,계좌이체,140000,10,3,잠금장치 노트
2021-02-10-0021-1,2021-02-10,21,15,F,신용카드,1125000,14,4,만년필
2021-02-10-0162-1,2021-02-10,162,46,F,계좌이체,23000,16,4,연필
2021-02-10-0248-1,2021-02-10,248,49,F,카카오페이,196000,17,4,지우개 세트
2021-02-10-0201-1,2021-02-10,201,83,F,카카오페이,332000,17,4,지우개 세트
2021-02-11-0072-1,2021-02-11,72,67,F,신용카드,268000,17,4,지우개 세트
