구매_ID,구매_날짜,구매자_ID,상품_ID,구매_수량,각인_서비스,결제_방식, 총_결제_금액 
2021-01-01-0223-1,2021-01-01,0223,S3,62,F,계좌이체," 1,364,000 "
2021-01-01-0098-1,2021-01-01,0098,W1,7,T,계좌이체," 420,000 "
2021-01-02-0157-1,2021-01-02,0157,C1,61,T,신용카드," 1,525,000 "
2021-01-02-0063-1,2021-01-02,0063,S4,4,T,계좌이체," 140,000 "
2021-01-02-0067-1,2021-01-02,0067,W3,5,T,계좌이체," 250,000 "
2021-01-03-0212-1,2021-01-03,0212,W3,6,F,카카오페이," 300,000 "
2021-01-03-0017-1,2021-01-03,0017,C2,71,F,신용카드," 1,917,000 "
2021-01-03-0274-1,2021-01-03,0274,W3,2,F,계좌이체," 100,000 "
2021-01-03-0080-1,2021-01-03,0080,W1,2,F,신용카드," 120,000 "
2021-01-04-0011-1,2021-01-04,0011,S1,65,T,계좌이체," 97,500 "
2021-01-04-0073-1,2021-01-04,0073,S5,1,T,계좌이체," 80,000 "
2021-01-04-0239-1,2021-01-04,0239,A1,67,T,신용카드," 335,000 "
2021-01-04-0073-2,2021-01-04,0073,S2,37,F,신용카드," 370,000 "
2021-01-05-0210-1,2021-01-05,0210,W1,17,F,계좌이체," 1,020,000 "
2021-01-05-0028-1,2021-01-05,0028,C2,3,T,신용카드," 81,000 "
2021-01-05-0289-1,2021-01-05,0289,A3,56,F,신용카드," 952,000 "
2021-01-05-0082-1,2021-01-05,0082,A4,44,T,신용카드," 220,000 "
2021-01-05-0259-1,2021-01-05,0259,W3,5,F,카카오페이," 250,000 "
2021-01-06-0191-1,2021-01-06,0191,S3,43,T,신용카드," 946,000 "
2021-01-06-0222-1,2021-01-06,0222,W2,6,T,계좌이체," 450,000 "
2021-01-07-0222-1,2021-01-07,0222,W6,20,T,계좌이체," 900,000 "
2021-01-07-0118-1,2021-01-07,0118,S5,16,T,계좌이체," 1,280,000 "
2021-01-07-0121-1,2021-01-07,0121,A4,33,T,신용카드," 165,000 "
2021-01-07-0205-1,2021-01-07,0205,C2,21,T,신용카드," 567,000 "
2021-01-08-0079-1,2021-01-08,0079,C2,30,T,신용카드," 810,000 "
2021-01-08-0167-1,2021-01-08,0167,S4,7,F,계좌이체," 245,000 "
2021-01-10-0307-1,2021-01-10,0307,W1,21,T,신용카드," 1,260,000 "
2021-01-10-0093-1,2021-01-10,0093,A4,79,F,신용카드," 395,000 "
2021-01-11-0036-1,2021-01-11,0036,W3,21,T,신용카드," 1,050,000 "
2021-01-11-0149-1,2021-01-11,0149,W2,9,F,계좌이체," 675,000 "
2021-01-11-0021-1,2021-01-11,0021,W4,23,F,신용카드," 11,500 "
2021-01-12-0095-1,2021-01-12,0095,W4,75,F,계좌이체," 37,500 "
2021-01-12-0057-1,2021-01-12,0057,S1,86,T,계좌이체," 129,000 "
2021-01-14-0253-1,2021-01-14,0253,W3,18,F,계좌이체," 900,000 "
2021-01-14-0294-1,2021-01-14,0294,A3,69,F,신용카드," 1,173,000 "
2021-01-15-0189-1,2021-01-15,0189,W6,9,F,계좌이체," 405,000 "
2021-01-15-0160-1,2021-01-15,0160,C2,6,T,신용카드," 162,000 "
2021-01-15-0250-1,2021-01-15,0250,S1,60,F,카카오페이," 90,000 "
2021-01-16-0235-1,2021-01-16,0235,W6,20,T,카카오페이," 900,000 "
2021-01-17-0176-1,2021-01-17,0176,A3,60,F,계좌이체," 1,020,000 "
2021-01-17-0085-1,2021-01-17,0085,W2,11,F,계좌이체," 825,000 "
2021-01-17-0043-1,2021-01-17,0043,A2,98,F,신용카드," 1,176,000 "
2021-01-17-0160-1,2021-01-17,0160,C1,88,T,계좌이체," 2,200,000 "
2021-01-17-0163-1,2021-01-17,0163,S4,12,T,신용카드," 420,000 "
2021-01-18-0256-1,2021-01-18,0256,A4,44,F,신용카드," 220,000 "
2021-01-18-0296-1,2021-01-18,0296,A1,46,F,신용카드," 230,000 "
2021-01-18-0188-1,2021-01-18,0188,W3,4,F,카카오페이," 200,000 "
2021-01-18-0275-1,2021-01-18,0275,A2,22,F,신용카드," 264,000 "
2021-01-18-0238-1,2021-01-18,0238,W3,3,T,신용카드," 150,000 "
2021-01-19-0076-1,2021-01-19,0076,W2,9,F,계좌이체," 675,000 "
2021-01-19-0168-1,2021-01-19,0168,S1,30,T,신용카드," 45,000 "
2021-01-20-0118-1,2021-01-20,0118,W1,9,T,카카오페이," 540,000 "
2021-01-20-0062-1,2021-01-20,0062,S1,56,T,신용카드," 84,000 "
2021-01-20-0099-1,2021-01-20,0099,A1,65,F,신용카드," 325,000 "
2021-01-20-0239-1,2021-01-20,0239,W6,11,F,계좌이체," 495,000 "
2021-01-21-0033-1,2021-01-21,0033,A4,18,F,신용카드," 90,000 "
2021-01-21-0036-1,2021-01-21,0036,W2,25,T,신용카드," 1,875,000 "
2021-01-21-0188-1,2021-01-21,0188,S4,8,F,신용카드," 280,000 "
2021-01-21-0098-1,2021-01-21,0098,W1,12,F,신용카드," 720,000 "
2021-01-22-0266-1,2021-01-22,0266,S2,80,T,카카오페이," 800,000 "
2021-01-22-0021-1,2021-01-22,0021,S5,18,T,계좌이체," 1,440,000 "
2021-01-22-0253-1,2021-01-22,0253,W5,29,F,계좌이체," 116,000 "
2021-01-23-0054-1,2021-01-23,0054,C1,11,T,신용카드," 275,000 "
2021-01-23-0297-1,2021-01-23,0297,S4,13,T,계좌이체," 455,000 "
2021-01-23-0191-1,2021-01-23,0191,W5,77,F,신용카드," 308,000 "
2021-01-24-0030-1,2021-01-24,0030,S2,90,T,카카오페이," 900,000 "
2021-01-24-0214-1,2021-01-24,0214,S1,30,T,신용카드," 45,000 "
