구매_ID,구매_날짜,구매자_ID,상품_ID,구매_수량,각인_서비스,결제_방식,총_결제_금액
2022-01-010028-1,2022-01-01,0028,W5,300,F,신용카드," 1,200,000 "
2022-01-020133-1,2022-01-02,0133,S1,200,T,계좌이체," 300,000 "
2022-01-020581-1,2022-01-02,0581,W1,3,F,신용카드," 180,000 "
2022-01-020589-1,2022-01-02,0589,A2,25,F,카카오페이," 300,000 "
2022-01-030369-1,2022-01-03,0369,S2,100,F,신용카드," 1,000,000 "
2022-01-030635-1,2022-01-03,0635,C1,3,F,신용카드," 75,000 "
2022-01-030551-1,2022-01-03,0551,C2,7,T,신용카드," 189,000 "
2022-01-040162-1,2022-01-04,0162,W4,150,F,계좌이체," 75,000 "
2022-01-040263-1,2022-01-04,0263,W4,200,F,계좌이체," 100,000 "
2022-01-040164-1,2022-01-04,0164,A2,15,F,신용카드," 180,000 "
2022-01-040357-1,2022-01-04,0357,S1,300,T,카카오페이," 450,000 "
2022-01-040404-1,2022-01-04,0404,S4,2,F,계좌이체," 70,000 "
2022-01-050685-1,2022-01-05,0685,W4,300,F,카카오페이," 150,000 "
2022-01-050728-1,2022-01-05,0728,A1,60,F,계좌이체," 300,000 "
2022-01-060728-1,2022-01-06,0728,A1,160,F,신용카드," 800,000 "
2022-01-060148-1,2022-01-06,0148,W5,200,F,카카오페이," 800,000 "
2022-01-060303-1,2022-01-06,0303,W2,20,T,신용카드," 1,500,000 "
2022-01-060385-1,2022-01-06,0385,W3,3,F,계좌이체," 150,000 "
2022-01-060514-1,2022-01-06,0514,C1,2,T,카카오페이," 50,000 "
2022-01-070132-1,2022-01-07,0132,S6,300,F,계좌이체," 1,650,000 "
2022-01-070715-1,2022-01-07,0715,W3,2,F,카카오페이," 100,000 "
2022-01-080175-1,2022-01-08,0175,S1,100,T,카카오페이," 150,000 "
2022-01-080184-1,2022-01-08,0184,W4,300,F,계좌이체," 150,000 "
2022-01-080480-1,2022-01-08,0480,S1,250,F,신용카드," 375,000 "
2022-01-090709-1,2022-01-09,0709,S3,3,F,신용카드," 66,000 "
2022-01-090623-1,2022-01-09,0623,C1,7,T,계좌이체," 175,000 "
2022-01-090516-1,2022-01-09,0516,S6,200,F,신용카드," 1,100,000 "
2022-01-090834-1,2022-01-09,0834,W1,1,F,계좌이체," 60,000 "
2022-01-090400-1,2022-01-09,0400,S6,100,F,계좌이체," 550,000 "
2022-01-090843-1,2022-01-09,0843,W2,2,T,계좌이체," 150,000 "
2022-01-100253-1,2022-01-10,0253,A2,6,F,계좌이체," 72,000 "
2022-01-100480-1,2022-01-10,0480,W1,2,T,카카오페이," 120,000 "
2022-01-110645-1,2022-01-11,0645,A1,100,F,카카오페이," 500,000 "
2022-01-120180-1,2022-01-12,0180,W2,3,F,계좌이체," 225,000 "
2022-01-120129-1,2022-01-12,0129,A2,10,F,신용카드," 120,000 "
2022-01-120188-1,2022-01-12,0188,S5,2,F,신용카드," 160,000 "
